run_id,condition,success,exp_stage,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,conditionmyown,cen_signal_contrast_stim,view_history,rt,response,stimulus,correct_response,correct_response_in_clockwise_or_counterclockwise,correct,slider_start,ctx_signal_contrast,cen_angle_in_degree,cen_signal_contrast_catchStim,confidence,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
13,1,true,pre-exp,fullscreen_starts,fullscreen,0,9733,0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"""","""","""","""","""","""","""","""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",pre-exp,instructionspage1,instructions,1,13853,0.0-1.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"[{""page_index"":0,""viewing_time"":4110.599999904633}]",4110.899999976158,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",pre-exp,instructions_block2,canvas-button-response,2,48698,0.0-2.0-0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"""",34755.10000002384,1,instructionStim1,1,Clockwise,true,"""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",pre-exp,instructions_block3,canvas-button-response,3,57036,0.0-3.0-0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"""",8266.600000023842,0,instructionStim2,0,Counter-clockwise,true,"""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",pre-exp,instructions_block4,html-slider-response,4,84634,0.0-4.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"""",27594.899999976158,29,"<div id=""message-div""><p>After you have made your clockwise/counter-clockwise choice, <br>you will be asked to rate how confident you are that you were correct in your clockwise/counter-clockwise choice using a slide bar.<br>Please try to use the entire range of the slider bar.<br>For example, feel free to move the slider to the leftmost location if you are extremely uncertain about your choice, and the rightmost location if you are extremely certain.</p></div>","""","""","""",50,"""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",pre-exp,instructionspage5,instructions,5,94652,0.0-5.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"[{""page_index"":0,""viewing_time"":10015.899999976158}]",10016.200000047684,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",pre-exp,instructionspage6,instructions,6,98416,0.0-6.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"[{""page_index"":0,""viewing_time"":3762.600000023842}]",3762.899999976158,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",pre-exp,instructionspage7,instructions,7,110098,0.0-7.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"[{""page_index"":0,""viewing_time"":11680.399999976158}]",11680.600000023842,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",pre-exp,instructionspage8,instructions,8,113972,0.0-8.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"[{""page_index"":0,""viewing_time"":3873.0999999046326}]",3873.2999999523163,"""","""","""","""","""","""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
13,1,"""",practice_procedure,fixation,html-keyboard-response,9,114475,0.0-9.0-0.0-0.0,3SD15I2WEBVYX2RZ7BNPTJHHA9P63F,A13FTIHWW9GE8X,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,N27K4,N27K4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,3K772S5NPHCKR9O6IG0RXL6SDXXEH4,338054,338054,1,0.03,"""",null,null,"<div class = fixationbox><div class = fixation>+</div></div>","""","""","""","""","""","""","""","""","2021-12-31 03:30:02",73.168.250.133,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",WebKit,Chrome,96.0.4664.110,Windows,10.0,ac0f2dffeffaa78d35a552e03d03f0a8
